Shot,Category,I_AUROC,I_AUPR,I_F1max,P_AUROC,P_AUPR,P_F1max
0-shot,Woven_001,100.0,99.8,100.0,99.8,78.2,71.7
0-shot,Woven_127,94.8,95.4,88.4,94.5,54.0,54.6
0-shot,Woven_104,98.9,99.7,98.1,95.2,67.6,64.8
0-shot,Stratified_154,98.1,99.5,96.4,99.6,77.6,68.9
0-shot,Blotchy_099,98.3,99.4,99.4,99.5,79.7,69.4
0-shot,Woven_068,97.0,98.3,93.0,98.7,55.8,53.4
0-shot,Woven_125,100.0,99.9,100.0,99.5,73.9,66.4
0-shot,Marbled_078,99.1,99.7,98.1,99.2,75.4,67.5
0-shot,Perforated_037,93.7,98.4,93.9,93.5,62.3,61.7
0-shot,Mesh_114,85.6,94.2,84.7,93.7,58.0,58.1
0-shot,Fibrous_183,98.8,99.6,97.5,99.1,68.8,60.7
0-shot,Matted_069,87.3,96.7,91.2,99.5,73.6,65.8
