Shot,Category,I_AUROC,I_AUPR,I_F1max,P_AUROC,P_AUPR,P_F1max
0-shot,carpet,100.0,99.9,100.0,99.2,68.2,67.2
0-shot,bottle,90.7,97.1,90.8,92.4,60.3,56.4
0-shot,hazelnut,94.8,97.0,92.4,97.6,51.0,53.7
0-shot,leather,100.0,99.9,99.5,99.1,27.9,43.7
0-shot,cable,83.6,89.9,82.5,76.6,15.6,24.7
0-shot,capsule,95.2,99.0,95.0,95.8,35.4,40.2
0-shot,grid,98.9,99.5,97.3,97.4,27.5,39.7
0-shot,pill,86.8,97.0,93.9,89.9,33.1,35.2
0-shot,transistor,88.7,87.1,81.1,69.3,15.6,19.5
0-shot,metal_nut,93.7,98.3,94.7,76.5,27.6,34.5
0-shot,screw,85.9,93.8,90.3,97.9,28.8,34.5
0-shot,toothbrush,86.4,92.5,95.1,87.7,13.5,22.9
0-shot,zipper,99.3,99.8,98.3,91.8,44.4,47.7
0-shot,tile,99.6,99.7,98.2,95.8,68.2,67.8
0-shot,wood,98.7,99.5,96.7,96.9,57.5,60.9
