Shot,Category,I_AUROC,I_AUPR,I_F1max,P_AUROC,P_AUPR,P_F1max
0-shot,audiojack,63.5,48.2,53.4,94.9,11.3,20.9
0-shot,bottle_cap,66.2,63.1,61.2,98.0,26.6,36.8
0-shot,button_battery,70.6,78.0,73.4,98.2,50.8,54.2
0-shot,end_cap,66.1,70.9,74.0,95.2,10.0,18.2
0-shot,eraser,86.4,85.8,75.9,99.4,37.2,45.6
0-shot,fire_hood,80.0,70.6,64.8,99.0,37.1,42.8
0-shot,mint,66.4,65.7,65.0,93.6,26.2,38.6
0-shot,mounts,79.9,66.7,67.5,97.9,39.0,46.3
0-shot,pcb,61.9,73.0,75.5,94.4,7.4,13.5
0-shot,phone_battery,82.1,81.1,70.7,76.1,23.3,34.5
0-shot,plastic_nut,68.4,55.5,54.7,96.1,33.3,43.4
0-shot,plastic_plug,69.5,57.6,60.5,96.3,23.0,33.4
0-shot,porcelain_doll,77.9,60.7,67.5,99.1,42.9,44.9
0-shot,regulator,73.0,53.4,53.7,92.1,16.2,29.3
0-shot,rolled_strip_base,87.1,93.5,85.7,98.6,35.2,40.8
0-shot,sim_card_set,89.4,92.9,84.6,99.5,58.8,59.6
0-shot,switch,67.8,72.8,70.5,84.6,11.8,18.9
0-shot,tape,93.0,91.4,82.8,97.0,40.5,50.0
0-shot,terminalblock,76.8,81.8,71.5,96.8,36.5,44.2
0-shot,toothbrush,58.4,66.2,69.9,91.1,11.1,17.7
0-shot,toy,63.3,71.4,73.5,81.9,9.6,17.8
0-shot,toy_brick,69.3,61.0,61.6,97.6,22.7,29.8
0-shot,transistor1,71.3,75.5,75.5,91.8,22.7,32.3
0-shot,u_block,77.2,64.9,62.8,98.6,33.9,43.1
0-shot,usb,63.0,57.7,65.0,93.2,5.1,9.9
0-shot,usb_adaptor,72.8,62.2,63.6,97.1,15.3,25.3
0-shot,vcpill,80.2,75.6,67.7,98.0,48.4,53.0
0-shot,wooden_beads,82.6,79.7,73.1,98.4,41.9,46.2
0-shot,woodstick,75.6,55.9,56.2,97.5,46.6,52.2
0-shot,zipper,86.1,90.5,86.2,95.5,22.3,26.2
