Shot,Category,I_AUROC,I_AUPR,I_F1max,P_AUROC,P_AUPR,P_F1max
0-shot,candle,87.4,90.5,81.4,98.7,21.6,35.2
0-shot,capsules,93.9,96.8,91.6,94.2,33.4,44.1
0-shot,cashew,86.1,94.0,84.0,93.4,22.1,27.2
0-shot,chewinggum,96.7,98.7,96.4,99.5,82.7,77.8
0-shot,fryum,91.5,95.9,88.5,95.3,26.5,33.6
0-shot,macaroni1,83.3,85.1,75.6,98.1,16.4,23.0
0-shot,macaroni2,69.9,69.2,71.5,98.2,2.2,6.4
0-shot,pcb1,84.1,86.1,80.4,96.2,15.7,24.6
0-shot,pcb2,64.6,67.8,69.9,93.0,12.4,20.0
0-shot,pcb3,65.3,72.0,67.3,87.9,4.6,10.4
0-shot,pcb4,97.7,97.5,93.5,95.3,31.9,36.8
0-shot,pipe_fryum,96.7,98.0,95.6,98.4,44.0,52.4
